word,reading,jlpt_level
# ── Verbs ───────────────────────────────────────────────────────
食べる,たべる,N5
飲む,のむ,N5
行く,いく,N5
来る,くる,N5
見る,みる,N5
聞く,きく,N5
話す,はなす,N5
書く,かく,N5
読む,よむ,N5
起きる,おきる,N5
寝る,ねる,N5
帰る,かえる,N5
入る,はいる,N5
出る,でる,N5
買う,かう,N5
売る,うる,N5
使う,つかう,N5
待つ,まつ,N5
会う,あう,N5
知る,しる,N5
思う,おもう,N5
わかる,わかる,N5
できる,できる,N5
開ける,あける,N5
閉める,しめる,N5
乗る,のる,N5
降りる,おりる,N5
教える,おしえる,N5
習う,ならう,N5
覚える,おぼえる,N5
忘れる,わすれる,N5
始める,はじめる,N5
終わる,おわる,N5
貸す,かす,N5
借りる,かりる,N5
洗う,あらう,N5
着る,きる,N5
脱ぐ,ぬぐ,N5
履く,はく,N5
切る,きる,N5
作る,つくる,N5
泳ぐ,およぐ,N5
走る,はしる,N5
歩く,あるく,N5
立つ,たつ,N5
座る,すわる,N5
止まる,とまる,N5
持つ,もつ,N5
置く,おく,N5
取る,とる,N5
上げる,あげる,N5
下げる,さげる,N5
出す,だす,N5
入れる,いれる,N5
見せる,みせる,N5
消える,きえる,N5
付ける,つける,N5
消す,けす,N5
起こす,おこす,N5
直す,なおす,N5
送る,おくる,N5
受ける,うける,N5
頼む,たのむ,N5
答える,こたえる,N5
怒る,おこる,N5
笑う,わらう,N5
泣く,なく,N5
眠る,ねむる,N5
死ぬ,しぬ,N5
生まれる,うまれる,N5
住む,すむ,N5
働く,はたらく,N5
遊ぶ,あそぶ,N5
泊まる,とまる,N5
急ぐ,いそぐ,N5
引く,ひく,N5
押す,おす,N5
見える,みえる,N5
聞こえる,きこえる,N5
開く,あく,N5
閉まる,しまる,N5
集める,あつめる,N5
似合う,にあう,N5
呼ぶ,よぶ,N5
言う,いう,N5
思い出す,おもいだす,N5
帰って来る,かえってくる,N5
# ── Suru verbs (noun form) ──────────────────────────────────────
勉強,べんきょう,N5
料理,りょうり,N5
旅行,りょこう,N5
結婚,けっこん,N5
卒業,そつぎょう,N5
入学,にゅうがく,N5
練習,れんしゅう,N5
説明,せつめい,N5
準備,じゅんび,N5
電話,でんわ,N5
掃除,そうじ,N5
洗濯,せんたく,N5
買い物,かいもの,N5
散歩,さんぽ,N5
運動,うんどう,N5
# ── Suru verbs (verb form) ──────────────────────────────────────
勉強する,べんきょうする,N5
料理する,りょうりする,N5
旅行する,りょこうする,N5
結婚する,けっこんする,N5
卒業する,そつぎょうする,N5
入学する,にゅうがくする,N5
練習する,れんしゅうする,N5
説明する,せつめいする,N5
準備する,じゅんびする,N5
電話する,でんわする,N5
掃除する,そうじする,N5
洗濯する,せんたくする,N5
散歩する,さんぽする,N5
運動する,うんどうする,N5
# ── Family / People ─────────────────────────────────────────────
父,ちち,N5
母,はは,N5
兄,あに,N5
姉,あね,N5
弟,おとうと,N5
妹,いもうと,N5
子供,こども,N5
赤ちゃん,あかちゃん,N5
家族,かぞく,N5
人,ひと,N5
男,おとこ,N5
女,おんな,N5
男の子,おとこのこ,N5
女の子,おんなのこ,N5
大人,おとな,N5
友達,ともだち,N5
先生,せんせい,N5
学生,がくせい,N5
生徒,せいと,N5
医者,いしゃ,N5
看護師,かんごし,N5
店員,てんいん,N5
外国人,がいこくじん,N5
日本人,にほんじん,N5
お父さん,おとうさん,N5
お母さん,おかあさん,N5
お兄さん,おにいさん,N5
